GMDNR;GMDNAME;BZNR;KTNR;AREA_HA;BZNAME;KTNAME;Total Wood - Primary production per year  [GJ/a];Forest wood [GJ/a];Trees outside the forest [GJ/a];Wood residues [GJ/a];Waste wood [GJ/a]
4401;Arbon;2011;20;600;Arbon;Thurgau;16477;1303;3019;2553;9602
4406;Dozwil;2011;20;130;Arbon;Thurgau;2005;365;951;230;460
4411;Egnach;2011;20;1843;Arbon;Thurgau;28738;9956;11040;4664;3078
4416;Hefenhofen;2011;20;608;Arbon;Thurgau;10792;6620;3053;292;827
4421;Horn;2011;20;173;Arbon;Thurgau;3189;469;766;202;1752
4426;Kesswil;2011;20;447;Arbon;Thurgau;12288;6203;3321;2090;674
4431;Roggwil (TG);2011;20;1202;Arbon;Thurgau;27498;8027;7438;10046;1987
4436;Romanshorn;2011;20;873;Arbon;Thurgau;33127;10842;3972;11076;7238
4441;Salmsach;2011;20;271;Arbon;Thurgau;3754;1512;1127;170;946
4446;Sommeri;2011;20;422;Arbon;Thurgau;7849;6568;783;148;350
4451;Uttwil;2011;20;435;Arbon;Thurgau;11156;6672;3162;89;1233
4461;Amriswil;2011;20;1902;Arbon;Thurgau;32132;13448;5412;4446;8826
4471;Bischofszell;2015;20;1158;Weinfelden;Thurgau;24057;14647;4199;1243;3968
4476;Erlen;2015;20;1219;Weinfelden;Thurgau;20352;9747;6598;1568;2439
4486;Hauptwil-Gottshaus;2015;20;1249;Weinfelden;Thurgau;33013;12666;2878;16181;1289
4495;Hohentannen;2015;20;801;Weinfelden;Thurgau;10109;7141;2337;216;415
4501;Kradolf-Sch;2015;20;1095;Weinfelden;Thurgau;32530;11623;3912;14602;2392
4506;Sulgen;2015;20;912;Weinfelden;Thurgau;17554;6203;3402;5453;2496
4511;Zihlschlacht-Sitterdorf;2015;20;1221;Weinfelden;Thurgau;19320;9903;4560;3339;1517
4536;Basadingen-Schlattingen;2012;20;1563;Frauenfeld;Thurgau;31494;24706;1804;3754;1230
4545;Diessenhofen;2012;20;1008;Frauenfeld;Thurgau;32554;15950;3452;10679;2474
4546;Schlatt (TG);2012;20;1554;Frauenfeld;Thurgau;30717;26062;2425;1119;1112
4551;Aadorf;2014;20;1994;Münchwilen;Thurgau;62257;27469;3621;25248;5919
4561;Felben-Wellhausen;2012;20;738;Frauenfeld;Thurgau;14199;9643;1927;818;1811
4566;Frauenfeld;2012;20;2736;Frauenfeld;Thurgau;64119;32681;9462;5241;16735
4571;Gachnang;2012;20;974;Frauenfeld;Thurgau;12927;7506;2149;591;2682
4590;Hattlingen;2012;20;1160;Frauenfeld;Thurgau;26404;22934;2107;805;559
4591;Matzingen;2012;20;768;Frauenfeld;Thurgau;14200;8757;1677;1996;1771
4601;Neunforn;2012;20;1136;Frauenfeld;Thurgau;17769;13917;2712;492;648
4606;Stettfurt;2012;20;637;Frauenfeld;Thurgau;8502;6672;962;85;783
4611;Thundorf;2012;20;1561;Frauenfeld;Thurgau;29602;26010;1749;885;958
4616;Uesslingen-Buch;2012;20;1403;Frauenfeld;Thurgau;15828;9539;4394;1164;731
4621;Warth-Weiningen;2012;20;821;Frauenfeld;Thurgau;14851;10737;2668;610;836
4641;Altnau;2013;20;673;Kreuzlingen;Thurgau;13950;5212;6708;583;1446
4643;Bottighofen;2013;20;241;Kreuzlingen;Thurgau;6438;4013;730;234;1461
4646;Ermatingen;2013;20;1046;Kreuzlingen;Thurgau;27673;21527;1931;2060;2155
4651;Gottlieben;2013;20;32;Kreuzlingen;Thurgau;545;104;214;8;219
4656;Gottingen;2013;20;954;Kreuzlingen;Thurgau;26108;13656;4611;6782;1059
4666;Kemmental;2013;20;2504;Kreuzlingen;Thurgau;40947;27782;5275;6280;1611
4671;Kreuzlingen;2013;20;1150;Kreuzlingen;Thurgau;37568;12979;4537;5553;14499
4681;Langrickenbach;2013;20;1083;Kreuzlingen;Thurgau;15014;10008;3802;346;859
4683;Lengwil;2013;20;889;Kreuzlingen;Thurgau;11466;8131;1622;597;1117
4691;Mensterlingen;2013;20;546;Kreuzlingen;Thurgau;10901;5160;3455;133;2153
4696;Tegerwilen;2013;20;1156;Kreuzlingen;Thurgau;26672;20120;2601;998;2953
4701;Weldi;2013;20;1221;Kreuzlingen;Thurgau;14500;9799;1958;2046;697
4711;Affeltrangen;2015;20;1443;Weinfelden;Thurgau;16475;10790;3064;943;1679
4716;Bettwiesen;2014;20;385;Münchwilen;Thurgau;6332;4587;598;371;777
4721;Bichelsee-Balterswil;2014;20;1226;Münchwilen;Thurgau;55931;22048;1574;30424;1885
4723;Braunau;2014;20;917;Münchwilen;Thurgau;15367;12249;1545;1061;512
4724;Eschlikon;2014;20;622;Münchwilen;Thurgau;11968;5160;1245;2684;2879
4726;Fischingen;2014;20;3058;Münchwilen;Thurgau;89994;68073;4012;16129;1780
4741;Lommis;2014;20;861;Münchwilen;Thurgau;13680;11363;1057;435;825
4746;Monchwilen (TG);2014;20;781;Münchwilen;Thurgau;13532;3805;1886;4294;3547
4751;Rickenbach (TG);2014;20;158;Münchwilen;Thurgau;3687;834;552;434;1866
4756;Schknholzerswilen;2015;20;1093;Weinfelden;Thurgau;16848;14125;2076;99;548
4761;Sirnach;2014;20;1238;Münchwilen;Thurgau;26405;14282;3416;3541;5166
4776;Tobel-T;2014;20;711;Münchwilen;Thurgau;21508;10216;895;9349;1047
4781;Wongi;2014;20;1643;Münchwilen;Thurgau;21787;13291;2555;2858;3083
4786;Wilen (TG);2014;20;225;Münchwilen;Thurgau;4446;2241;436;108;1660
4791;Wuppenau;2015;20;1212;Weinfelden;Thurgau;16817;13291;2246;525;755
4801;Berlingen;2012;20;358;Frauenfeld;Thurgau;12645;11207;632;227;580
4806;Eschenz;2012;20;1200;Frauenfeld;Thurgau;26209;20589;2378;2080;1161
4811;Herdern;2012;20;1373;Frauenfeld;Thurgau;21913;17878;1929;1419;687
4816;Homburg;2012;20;2413;Frauenfeld;Thurgau;38807;31847;2793;3150;1018
4821;Hottwilen;2012;20;1766;Frauenfeld;Thurgau;29993;24446;3576;847;1123
4826;Mammern;2012;20;544;Frauenfeld;Thurgau;15809;11884;3111;392;421
4831;Mallheim;2012;20;874;Frauenfeld;Thurgau;20125;11936;2883;3365;1941
4841;Pfyn;2012;20;1314;Frauenfeld;Thurgau;26255;19338;3125;2486;1306
4846;Raperswilen;2013;20;769;Kreuzlingen;Thurgau;23095;11207;455;11167;266
4851;Salenstein;2013;20;654;Kreuzlingen;Thurgau;20359;16523;2001;972;863
4864;Steckborn;2012;20;878;Frauenfeld;Thurgau;25905;20693;2307;397;2508
4871;Wagenhausen;2012;20;1181;Frauenfeld;Thurgau;20191;16054;2889;122;1127
4881;Amlikon-Bissegg;2015;20;1446;Weinfelden;Thurgau;20738;16210;2743;894;890
4891;Berg (TG);2015;20;1314;Weinfelden;Thurgau;21723;10373;6517;2612;2222
4901;Birwinken;2015;20;1229;Weinfelden;Thurgau;15188;10581;3043;647;917
4911;Birglen (TG);2015;20;1171;Weinfelden;Thurgau;17913;10320;4156;953;2484
4921;Bussnang;2015;20;1888;Weinfelden;Thurgau;24879;18869;3697;789;1524
4941;Murstetten;2015;20;996;Weinfelden;Thurgau;14040;9330;2008;845;1856
4946;Weinfelden;2015;20;1548;Weinfelden;Thurgau;34567;16888;5809;4340;7530
4951;Wigoltingen;2015;20;1713;Weinfelden;Thurgau;16114;9486;3703;1327;1598
