bfs_nr;municipality;canton;electric_car_share;electric_car_share_last_change;solar_potential_usage;solar_potential_usage_last_change;renewable_heating_share;renewable_heating_share_coverage;renewable_heating_share_last_change
4401;Arbon;TG;0.018812;31.01.2023;0.070099;11.11.2022;0.27919;0.879841;22.02.2023
4406;Dozwil;TG;0.029598;31.01.2023;0.082002;13.09.2022;0.504902;0.883382;28.10.2022
4411;Egnach;TG;0.020118;31.01.2023;0.107423;02.11.2022;0.392504;0.856235;06.02.2023
4416;Hefenhofen;TG;0.012427;31.01.2023;0.124892;22.11.2022;0.410798;0.812089;10.01.2023
4421;Horn;TG;0.021995;31.01.2023;0.161442;13.07.2022;0.189011;0.811034;17.08.2022
4426;Kesswil;TG;0.028302;31.01.2023;0.068982;04.08.2022;0.380556;0.839046;15.02.2023
4431;Roggwil (TG);TG;0.04079;31.01.2023;0.124874;02.12.2022;0.351474;0.861538;05.12.2022
4436;Romanshorn;TG;0.020292;31.01.2023;0.061189;25.10.2022;0.222777;0.857183;20.02.2023
4441;Salmsach;TG;0.011224;31.01.2023;0.063492;02.09.2022;0.336634;0.84539;24.10.2022
4446;Sommeri;TG;0.034068;31.01.2023;0.074229;18.03.2022;0.634409;0.863222;15.12.2022
4451;Uttwil;TG;0.02075;31.01.2023;0.06163;31.10.2022;0.261224;0.853282;16.02.2023
4461;Amriswil;TG;0.017699;31.01.2023;0.097923;07.12.2022;0.289971;0.889217;24.02.2023
4471;Bischofszell;TG;0.021008;31.01.2023;0.054413;11.10.2022;0.30979;0.875053;23.02.2023
4476;Erlen;TG;0.018695;31.01.2023;0.091468;25.11.2022;0.349468;0.866628;31.12.2022
4486;Hauptwil-Gottshaus;TG;0.024776;31.01.2023;0.105002;11.11.2022;0.390158;0.944882;23.01.2023
4495;Hohentannen;TG;0.023897;31.01.2023;0.113221;29.06.2022;0.563319;0.860169;10.01.2023
4501;Kradolf-Schönenberg;TG;0.022425;31.01.2023;0.069847;21.09.2022;0.314286;0.860987;26.01.2023
4506;Sulgen;TG;0.018685;31.01.2023;0.077358;23.09.2022;0.26299;0.851781;16.02.2023
4511;Zihlschlacht-Sitterdorf;TG;0.023039;31.01.2023;0.073512;04.11.2022;0.395862;0.900951;23.02.2023
4536;Basadingen-Schlattingen;TG;0.020582;31.01.2023;0.054554;06.10.2022;0.521481;0.87619;15.12.2022
4545;Diessenhofen;TG;0.014937;31.01.2023;0.066803;05.10.2022;0.286207;0.825971;04.01.2023
4546;Schlatt (TG);TG;0.031491;31.01.2023;0.042254;13.10.2022;0.485362;0.806902;02.11.2022
4551;Aadorf;TG;0.035736;31.01.2023;0.089033;21.11.2022;0.320444;0.844808;23.02.2023
4561;Felben-Wellhausen;TG;0.022782;31.01.2023;0.034421;20.10.2022;0.35942;0.849237;03.10.2022
4566;Frauenfeld;TG;0.02954;31.01.2023;0.087988;05.12.2022;0.188711;0.834148;20.02.2023
4571;Gachnang;TG;0.035791;31.01.2023;0.100025;10.10.2022;0.400334;0.953579;06.02.2023
4590;Hüttlingen;TG;0.02551;31.01.2023;0.142974;01.11.2022;0.691803;0.844291;19.09.2022
4591;Matzingen;TG;0.024379;31.01.2023;0.089147;02.09.2022;0.296104;0.855777;23.01.2023
4601;Neunforn;TG;0.023179;31.01.2023;0.071227;23.06.2022;0.598485;0.827238;03.01.2023
4606;Stettfurt;TG;0.041816;31.01.2023;0.14793;24.11.2022;0.380282;0.922173;14.02.2023
4611;Thundorf;TG;0.026173;31.01.2023;0.089696;08.12.2022;0.569869;0.825849;09.01.2023
4616;Uesslingen-Buch;TG;0.040481;31.01.2023;0.058853;24.11.2022;0.539683;0.780142;12.09.2022
4621;Warth-Weiningen;TG;0.050395;31.01.2023;0.080889;02.07.2022;0.400871;0.888756;23.12.2022
4641;Altnau;TG;0.042797;31.01.2023;0.109242;20.10.2022;0.314493;0.917944;09.02.2023
4643;Bottighofen;TG;0.052026;31.01.2023;0.120328;09.11.2022;0.269928;0.904881;17.11.2022
4646;Ermatingen;TG;0.041276;31.01.2023;0.058483;23.12.2022;0.335391;0.862586;12.11.2022
4651;Gottlieben;TG;0.013274;31.01.2023;0.036656;26.07.2022;0.214286;0.832;04.01.2023
4656;Güttingen;TG;0.040274;31.01.2023;0.097343;28.09.2022;0.337917;0.863736;03.02.2023
4666;Kemmental;TG;0.028015;31.01.2023;0.110454;15.11.2022;0.590722;0.869755;08.02.2023
4671;Kreuzlingen;TG;0.027265;31.01.2023;0.066502;19.12.2022;0.207101;0.8794;15.02.2023
4681;Langrickenbach;TG;0.021569;31.01.2023;0.072815;24.10.2022;0.642857;0.89627;17.01.2023
4683;Lengwil;TG;0.04662;31.01.2023;0.056245;04.11.2022;0.526221;0.944386;20.02.2023
4691;Münsterlingen;TG;0.033333;31.01.2023;0.068997;18.10.2022;0.303457;0.88791;15.02.2023
4696;Tägerwilen;TG;0.03282;31.01.2023;0.108406;21.12.2022;0.346047;0.862295;27.01.2023
4701;Wäldi;TG;0.028506;31.01.2023;0.075139;29.08.2022;0.472019;0.836879;25.01.2023
4711;Affeltrangen;TG;0.025395;31.01.2023;0.150582;04.10.2022;0.412422;0.821206;21.07.2022
4716;Bettwiesen;TG;0.028421;31.01.2023;0.080176;26.09.2022;0.328313;0.787671;22.02.2023
4721;Bichelsee-Balterswil;TG;0.02877;31.01.2023;0.076559;27.10.2022;0.431946;0.802444;26.01.2023
4723;Braunau;TG;0.035889;31.01.2023;0.092005;29.07.2022;0.613636;0.858824;06.10.2022
4724;Eschlikon;TG;0.033865;31.01.2023;0.09299;25.11.2022;0.291853;0.865338;03.02.2023
4726;Fischingen;TG;0.017699;31.01.2023;0.087824;01.11.2022;0.561786;0.943417;01.11.2022
4741;Lommis;TG;0.022893;31.01.2023;0.049937;29.08.2022;0.513317;0.820913;04.01.2023
4746;Münchwilen (TG);TG;0.0236;31.01.2023;0.065473;02.12.2022;0.321984;0.875357;20.02.2023
4751;Rickenbach (TG);TG;0.020708;31.01.2023;0.051693;07.02.2022;0.230769;0.857904;30.11.2022
4756;Schönholzerswilen;TG;0.018634;31.01.2023;0.089565;08.09.2022;0.677305;0.842105;12.10.2022
4761;Sirnach;TG;0.027526;31.01.2023;0.087841;10.10.2022;0.214958;0.886066;24.02.2023
4776;Tobel-Tägerschen;TG;0.024135;31.01.2023;0.090992;09.12.2022;0.376975;0.797647;03.11.2022
4781;Wängi;TG;0.027249;31.01.2023;0.08747;14.10.2022;0.313348;0.861652;23.02.2023
4786;Wilen (TG);TG;0.030726;31.01.2023;0.137547;10.11.2022;0.259542;0.886389;22.02.2023
4791;Wuppenau;TG;0.028377;31.01.2023;0.08067;22.06.2022;0.58961;0.850123;26.09.2022
4801;Berlingen;TG;0.035439;31.01.2023;0.07211;08.08.2022;0.23262;0.858293;23.01.2023
4806;Eschenz;TG;0.026906;31.01.2023;0.050462;13.10.2022;0.398074;0.868101;06.01.2023
4811;Herdern;TG;0.046997;31.01.2023;0.102793;21.11.2022;0.584958;0.858806;06.12.2022
4816;Homburg;TG;0.018167;31.01.2023;0.087961;14.07.2022;0.614679;0.867381;06.02.2023
4821;Hüttwilen;TG;0.04542;31.01.2023;0.076479;01.07.2022;0.535593;0.829843;12.05.2022
4826;Mammern;TG;0.047146;31.01.2023;0.035115;02.11.2022;0.313008;0.831169;18.01.2022
4831;Müllheim;TG;0.023303;31.01.2023;0.066291;28.10.2022;0.277443;0.847889;27.12.2022
4841;Pfyn;TG;0.025047;31.01.2023;0.047735;12.07.2022;0.381902;0.721137;10.12.2022
4846;Raperswilen;TG;0.017341;31.01.2023;0.063039;22.07.2022;0.572254;0.848329;29.03.2021
4851;Salenstein;TG;0.029075;31.01.2023;0.0737;11.07.2022;0.299163;0.856098;28.12.2022
4864;Steckborn;TG;0.0236;31.01.2023;0.098662;25.11.2022;0.230129;0.872896;30.01.2023
4871;Wagenhausen;TG;0.021277;31.01.2023;0.047444;16.09.2022;0.410811;0.858801;09.12.2022
4881;Amlikon-Bissegg;TG;0.024808;31.01.2023;0.222526;13.09.2022;0.590822;0.891641;29.11.2022
4891;Berg (TG);TG;0.02558;31.01.2023;0.093721;24.11.2022;0.345679;0.855786;12.10.2022
4901;Birwinken;TG;0.028945;31.01.2023;0.097324;22.06.2022;0.525974;0.866446;22.02.2023
4911;Bürglen (TG);TG;0.020697;31.01.2023;0.054989;22.09.2022;0.278761;0.837147;13.01.2023
4921;Bussnang;TG;0.027716;31.01.2023;0.066848;02.11.2022;0.492;0.842365;22.12.2022
4941;Märstetten;TG;0.023423;31.01.2023;0.085916;06.12.2022;0.313299;0.855214;17.01.2023
4946;Weinfelden;TG;0.032689;31.01.2023;0.134195;30.11.2022;0.227486;0.865462;20.02.2023
4951;Wigoltingen;TG;0.032593;31.01.2023;0.097926;19.10.2022;0.374846;0.849834;18.10.2022
